EmployeeID,Age,Gender,Department,JobRole,EducationLevel,MaritalStatus,MonthlyIncome,YearsAtCompany,YearsInCurrentRole,JobSatisfaction,WorkLifeBalance,OverTime,PerformanceRating,Attrition
155,45,Female,HR,Executive,High School,Married,51236,13,11,1,4,Yes,1,No
156,42,Female,Sales,Analyst,Master,Married,126208,16,10,1,3,Yes,1,No
157,56,Female,IT,Engineer,High School,Married,54241,15,4,2,2,No,3,No
158,50,Male,HR,Clerk,PhD,Divorced,36650,4,9,2,2,Yes,4,No
159,18,Male,Finance,Engineer,High School,Married,145462,17,9,3,2,Yes,2,No
160,44,Male,IT,Clerk,Bachelor,Married,63867,10,5,4,1,Yes,4,No
161,30,Male,HR,Specialist,Bachelor,Single,70644,9,11,1,1,No,1,No
162,58,Male,Marketing,Executive,PhD,Married,19460,5,7,3,2,No,4,No
163,20,Male,IT,Analyst,Bachelor,Married,46135,9,8,2,1,Yes,3,No
164,56,Female,Marketing,Manager,PhD,Married,109832,10,9,3,1,Yes,1,No
165,23,Male,IT,Manager,Master,Married,126098,0,12,2,3,Yes,2,No
166,25,Female,IT,Specialist,PhD,Married,23714,4,12,2,4,Yes,4,No
167,44,Female,Operations,Executive,PhD,Married,80785,1,12,3,3,No,1,Yes
168,26,Female,Operations,Clerk,PhD,Divorced,21591,10,9,4,3,Yes,1,No
169,54,Female,Marketing,Executive,Bachelor,Divorced,41402,13,10,3,3,No,4,No
170,50,Female,Sales,Analyst,Master,Married,123626,12,7,2,2,Yes,4,No
171,59,Male,HR,Manager,High School,Divorced,88244,10,7,1,1,No,4,No
172,41,Male,Sales,Engineer,Master,Single,21482,5,6,4,2,No,1,No
173,32,Male,Sales,Manager,Bachelor,Single,103158,1,12,4,3,No,2,No
174,49,Male,Operations,Analyst,Master,Married,144935,18,0,1,4,No,1,No
175,49,Female,HR,Clerk,Master,Married,59953,8,3,4,3,No,2,Yes
176,41,Female,Operations,Executive,PhD,Divorced,136784,17,3,2,1,Yes,4,No
177,58,Female,Operations,Manager,PhD,Single,114208,13,11,3,4,Yes,4,No
178,29,Male,Operations,Manager,Bachelor,Married,36426,12,2,2,4,Yes,3,No
179,56,Male,Finance,Engineer,PhD,Single,99059,11,3,4,1,Yes,2,No
180,19,Male,Sales,Executive,Bachelor,Divorced,145865,11,11,1,1,Yes,4,No
181,20,Male,Sales,Engineer,High School,Married,84683,12,1,4,3,Yes,2,No
182,54,Female,Sales,Engineer,Master,Married,82883,6,2,2,1,No,2,No
183,34,Female,Finance,Clerk,High School,Married,62448,15,2,4,4,Yes,2,Yes
184,19,Male,IT,Manager,High School,Single,69653,16,9,4,1,No,2,No
185,19,Male,Marketing,Specialist,Master,Divorced,29720,8,0,2,3,Yes,1,No
186,45,Female,Marketing,Executive,PhD,Single,40430,13,6,4,2,Yes,3,No
187,40,Female,Finance,Clerk,High School,Single,72063,8,3,2,2,No,2,No
188,54,Female,Sales,Specialist,Master,Married,141929,5,7,1,3,Yes,2,No
189,49,Female,Marketing,Clerk,High School,Divorced,107479,0,8,4,4,No,3,Yes
190,50,Male,Finance,Clerk,High School,Divorced,21535,19,1,1,2,Yes,4,No
191,18,Female,Operations,Analyst,Master,Married,111225,0,1,3,3,No,2,No
192,36,Female,HR,Analyst,PhD,Divorced,78402,18,1,4,2,Yes,4,No
193,19,Female,Marketing,Clerk,Bachelor,Married,21156,14,7,3,4,Yes,1,No
194,43,Female,HR,Analyst,Master,Married,79896,16,1,1,4,Yes,3,No
195,49,Male,Sales,Executive,Bachelor,Divorced,95561,19,5,1,4,No,1,No
196,23,Male,Marketing,Manager,Master,Divorced,33688,7,4,2,1,Yes,4,No
197,49,Male,Finance,Specialist,Master,Divorced,146179,2,9,3,4,No,3,No
198,21,Male,IT,Executive,Bachelor,Divorced,66060,11,8,3,4,No,1,Yes
199,28,Male,Marketing,Manager,Bachelor,Single,80199,14,1,2,4,Yes,4,No
200,34,Male,Marketing,Analyst,PhD,Married,131918,17,0,3,2,No,4,No
201,55,Female,Marketing,Specialist,Master,Married,141657,12,1,1,3,No,3,No
202,41,Female,Marketing,Executive,Master,Married,39942,4,9,1,3,Yes,3,No
203,22,Female,Finance,Engineer,Master,Married,142806,16,4,1,4,No,4,No
204,51,Female,Finance,Clerk,PhD,Single,67746,2,14,1,2,Yes,4,Yes
205,23,Male,IT,Manager,Bachelor,Divorced,17921,18,7,4,3,No,1,No
206,39,Female,Finance,Manager,Master,Divorced,79770,5,7,2,2,Yes,1,No
207,28,Male,Finance,Engineer,Bachelor,Divorced,109380,16,1,4,3,Yes,4,Yes
208,33,Female,Sales,Engineer,PhD,Married,16740,4,11,4,1,No,2,Yes
209,50,Female,Sales,Clerk,High School,Single,76880,4,12,3,4,Yes,3,No
210,26,Female,HR,Analyst,Bachelor,Single,123942,18,4,2,2,Yes,3,No
211,23,Male,IT,Executive,PhD,Divorced,75853,10,11,4,2,Yes,3,No
212,33,Female,Sales,Executive,High School,Married,40460,0,14,4,1,Yes,4,No
213,46,Male,IT,Executive,Master,Divorced,21993,12,13,2,3,Yes,1,No
214,20,Male,IT,Analyst,Master,Married,141399,16,14,1,2,Yes,1,Yes
215,37,Female,Marketing,Clerk,Bachelor,Divorced,69741,10,12,2,4,Yes,3,No
216,53,Male,Operations,Executive,High School,Divorced,22005,17,1,2,1,No,2,No
217,36,Male,Operations,Manager,PhD,Single,65412,3,11,2,4,No,3,No
218,43,Female,Operations,Manager,Master,Married,95387,9,6,1,3,Yes,3,No
219,20,Female,IT,Manager,Master,Single,112115,10,9,2,4,Yes,3,Yes
220,36,Female,Marketing,Engineer,High School,Single,136927,17,7,1,1,Yes,2,No
221,37,Female,HR,Engineer,PhD,Divorced,38823,0,4,4,1,No,3,Yes
222,49,Female,HR,Analyst,Master,Married,17334,3,10,4,2,No,1,No
223,24,Female,Operations,Executive,Master,Married,119534,4,11,1,4,Yes,2,No
224,58,Male,HR,Engineer,Bachelor,Divorced,138265,1,0,3,4,No,2,No
225,50,Female,Marketing,Manager,PhD,Divorced,63200,11,12,2,3,Yes,1,Yes
226,57,Female,Operations,Engineer,Master,Divorced,81138,10,6,4,2,Yes,4,Yes
227,56,Male,Marketing,Manager,High School,Married,80196,15,14,4,3,Yes,2,Yes
228,35,Female,HR,Executive,Master,Divorced,63437,3,2,1,3,Yes,2,No
229,57,Male,Operations,Analyst,PhD,Divorced,130130,6,12,3,1,No,2,No
230,18,Female,Marketing,Clerk,Bachelor,Single,91360,12,1,3,1,No,4,Yes
231,28,Female,Finance,Clerk,Master,Divorced,86392,13,13,3,2,No,3,No
232,45,Male,Finance,Manager,High School,Divorced,34685,10,5,1,3,No,4,No
233,42,Female,Marketing,Engineer,Master,Married,148373,7,1,1,4,No,1,No
234,40,Male,Marketing,Engineer,High School,Divorced,134138,0,13,2,4,Yes,1,No
235,48,Female,Sales,Manager,PhD,Married,29073,7,9,4,1,Yes,1,Yes
236,47,Female,Sales,Executive,Bachelor,Single,18566,18,7,4,3,No,2,No
237,59,Male,IT,Manager,PhD,Single,37937,16,2,1,1,Yes,3,No
238,52,Female,Operations,Executive,Master,Married,96094,8,1,4,1,No,3,No
239,24,Female,IT,Analyst,Master,Divorced,66628,12,7,2,2,Yes,2,No
240,33,Male,IT,Analyst,Bachelor,Married,79075,14,12,1,3,No,3,No
241,43,Female,HR,Manager,High School,Divorced,22120,12,12,4,1,No,4,No
242,19,Male,Finance,Analyst,PhD,Divorced,46636,7,5,3,3,No,1,Yes
243,18,Female,HR,Engineer,High School,Divorced,133698,11,12,1,3,Yes,1,No
244,29,Male,Operations,Executive,Master,Married,33773,10,3,4,3,Yes,2,No
245,22,Female,Marketing,Clerk,High School,Single,144497,19,4,4,4,Yes,2,No
246,54,Male,Sales,Clerk,PhD,Married,119844,12,9,2,1,Yes,2,Yes
247,49,Male,Operations,Analyst,High School,Divorced,100993,15,14,2,3,Yes,2,No
248,26,Female,Marketing,Executive,Master,Married,77508,1,6,3,2,No,1,Yes
249,58,Female,Operations,Engineer,PhD,Single,108526,5,11,3,2,Yes,2,No
250,52,Male,Marketing,Clerk,High School,Married,36213,15,11,3,1,No,1,No
251,36,Female,Sales,Engineer,High School,Single,121358,17,3,2,2,Yes,3,Yes
252,33,Male,Marketing,Engineer,PhD,Single,44712,16,11,4,4,Yes,4,No
253,20,Female,IT,Clerk,Master,Divorced,72534,14,13,1,2,Yes,3,No
254,37,Female,Operations,Clerk,PhD,Single,70070,6,10,1,1,No,4,No
255,41,Male,Sales,Analyst,Master,Married,35151,13,6,2,3,Yes,2,No
256,50,Male,Marketing,Executive,High School,Married,98025,6,5,2,4,Yes,1,No
257,41,Female,IT,Manager,PhD,Divorced,83391,5,4,2,1,Yes,4,No
258,28,Female,IT,Executive,Master,Married,99079,11,2,2,1,No,1,No
259,25,Female,Finance,Manager,PhD,Divorced,61998,1,13,1,2,Yes,3,No
260,53,Female,IT,Clerk,High School,Married,35530,0,0,3,1,Yes,2,Yes
261,55,Female,HR,Engineer,PhD,Married,117095,17,7,1,3,No,2,No
262,57,Male,Sales,Executive,High School,Single,57760,4,10,2,1,Yes,4,No
263,37,Female,Sales,Engineer,High School,Single,35515,6,13,3,1,No,3,No
264,52,Female,Sales,Executive,High School,Single,15622,14,6,1,3,No,2,No
265,42,Male,Marketing,Specialist,Master,Married,144706,5,14,2,1,Yes,3,Yes
266,52,Male,Operations,Executive,Master,Divorced,22245,1,5,2,3,No,3,No
267,42,Male,Marketing,Engineer,Bachelor,Divorced,102579,16,3,4,3,No,1,No
268,46,Female,HR,Specialist,Master,Divorced,95831,12,4,4,2,Yes,3,No
269,35,Male,Operations,Analyst,Bachelor,Single,78532,12,13,2,1,Yes,3,No
270,35,Male,IT,Clerk,PhD,Married,118272,13,4,1,4,Yes,3,No
271,19,Male,Marketing,Analyst,High School,Single,53191,7,1,4,4,Yes,3,No
272,52,Male,Operations,Analyst,Master,Married,81951,14,5,1,3,No,2,No
273,33,Female,IT,Executive,High School,Married,120101,10,10,1,1,No,1,No
274,58,Female,Operations,Clerk,Bachelor,Married,117566,12,4,4,2,No,4,No
275,53,Female,IT,Specialist,Master,Single,114992,19,0,2,2,No,1,No
276,50,Male,Operations,Executive,Master,Married,19158,0,8,4,2,No,2,No
277,21,Male,Marketing,Manager,Master,Single,39122,1,6,1,3,Yes,2,Yes
278,50,Male,Marketing,Executive,Master,Single,121698,10,13,3,2,Yes,4,Yes
279,31,Male,HR,Specialist,High School,Married,73882,13,10,4,4,Yes,2,No
280,38,Male,Finance,Engineer,Master,Married,129214,4,13,3,1,No,2,No
281,37,Male,Sales,Executive,Bachelor,Married,111533,6,13,2,1,Yes,1,No
282,25,Female,Marketing,Manager,Master,Single,73899,15,1,4,4,Yes,1,No
283,24,Female,Marketing,Executive,Bachelor,Married,33834,10,5,3,3,Yes,1,No
284,20,Male,IT,Specialist,Bachelor,Married,126756,14,13,2,1,No,4,No
285,34,Female,Finance,Manager,High School,Divorced,56746,3,14,1,3,No,1,No
286,50,Male,Marketing,Clerk,Master,Divorced,24167,9,0,2,2,Yes,4,Yes
287,29,Male,Operations,Specialist,Bachelor,Divorced,34330,0,1,2,3,No,2,No
288,39,Female,Finance,Executive,Master,Married,90927,6,14,1,4,Yes,4,No
289,39,Male,Sales,Manager,High School,Single,137404,11,14,2,3,No,4,No
290,47,Female,Operations,Specialist,High School,Divorced,51843,10,6,4,1,No,3,No
291,55,Male,IT,Clerk,Master,Single,135784,10,2,2,1,Yes,3,No
292,55,Male,HR,Engineer,Bachelor,Divorced,138216,16,6,3,2,Yes,2,No
293,25,Female,Operations,Analyst,PhD,Divorced,124435,0,5,2,1,No,2,No
294,44,Male,Sales,Manager,PhD,Single,94278,14,4,3,4,Yes,1,No
295,44,Male,Operations,Engineer,High School,Divorced,113969,19,9,2,4,Yes,4,No
296,51,Male,Finance,Clerk,Bachelor,Single,144129,17,13,4,1,No,3,No
297,38,Female,Finance,Engineer,PhD,Married,147304,3,8,1,1,Yes,1,Yes
298,47,Male,Sales,Executive,Bachelor,Married,92515,18,9,1,1,Yes,3,Yes
299,50,Male,Finance,Analyst,Master,Single,39311,4,4,3,1,No,1,No
300,45,Male,Operations,Manager,High School,Single,112627,13,13,2,2,Yes,3,No
301,50,Female,HR,Specialist,Master,Married,90489,12,4,2,2,Yes,1,No
302,22,Female,Operations,Clerk,Master,Single,45767,18,7,4,2,Yes,4,No
303,36,Female,HR,Analyst,Master,Married,103094,18,6,2,2,No,1,No
304,21,Female,Finance,Clerk,Bachelor,Married,76110,15,0,3,2,No,2,No
305,52,Female,Operations,Engineer,PhD,Single,35954,18,9,3,1,Yes,1,No
306,34,Male,Finance,Clerk,Master,Divorced,22424,0,1,4,3,No,3,No
307,45,Female,HR,Clerk,High School,Single,86898,9,3,3,2,No,4,Yes
308,47,Female,Finance,Engineer,Bachelor,Married,85074,1,8,3,3,No,1,No
309,46,Male,Marketing,Engineer,PhD,Divorced,21644,14,6,4,2,Yes,1,No
310,23,Female,IT,Analyst,Master,Divorced,38778,18,1,3,3,Yes,2,No
311,52,Male,Operations,Manager,High School,Married,46488,3,10,3,1,Yes,3,No
312,58,Female,Marketing,Engineer,Master,Divorced,146141,3,11,1,1,Yes,2,No
313,54,Male,Finance,Analyst,PhD,Divorced,22169,11,7,4,4,No,1,No
314,41,Male,Finance,Clerk,PhD,Single,144348,18,0,1,1,No,4,No
315,46,Female,IT,Clerk,Master,Married,135622,8,7,2,4,Yes,3,No
316,48,Female,Finance,Specialist,Master,Divorced,147578,15,4,4,3,Yes,1,No
317,52,Male,IT,Executive,Bachelor,Married,45865,14,0,2,2,Yes,1,No
318,50,Male,Operations,Engineer,PhD,Single,114952,8,2,3,1,No,3,No
319,38,Male,HR,Analyst,PhD,Single,50935,18,10,1,4,No,2,No
320,49,Male,IT,Specialist,Master,Single,99468,17,12,3,3,No,4,No
321,40,Male,IT,Analyst,High School,Divorced,20523,6,12,1,2,No,2,No
322,50,Male,Marketing,Manager,Master,Single,97139,15,12,1,1,No,2,No
323,20,Male,Finance,Specialist,Master,Married,68349,14,6,1,2,Yes,4,Yes
324,35,Female,Operations,Analyst,PhD,Single,127293,10,11,1,2,No,1,No
325,42,Male,HR,Engineer,Bachelor,Divorced,82585,5,6,3,1,Yes,3,No
326,59,Female,Sales,Analyst,Master,Single,133600,2,7,3,4,Yes,3,No
327,48,Female,IT,Executive,High School,Divorced,56730,13,10,3,1,No,2,No
328,20,Male,Sales,Clerk,High School,Married,77273,5,12,1,4,Yes,2,No
329,57,Male,Finance,Clerk,Master,Single,130427,16,10,2,4,No,1,No
330,41,Female,IT,Specialist,High School,Single,35679,18,3,3,2,No,4,Yes
331,49,Male,Sales,Analyst,High School,Married,111200,17,5,3,4,Yes,4,No
